,Recon Error,K neighbours,N Components
0,4.34808477239771,40,2
1,3.8825351853150614,40,3
2,3.410539364553147,40,4
3,2.920631476219227,40,5
4,2.4826259567564795,40,6
5,2.2180743233819786,40,7
6,6.372152506321185,60,2
7,5.536307174457911,60,3
8,4.921801840826569,60,4
9,4.356127066980265,60,5
10,3.811637165138475,60,6
11,3.481712710036223,60,7
12,5.286303527416363,100,2
13,4.6790663125862,100,3
14,4.05702257804462,100,4
15,3.6019906585593735,100,5
16,3.1174723583747452,100,6
17,2.5840003555163413,100,7
18,4.239089750826761,200,2
19,3.8523463180987143,200,3
20,3.4266132621751972,200,4
21,2.9868390846450437,200,5
22,2.491731583342586,200,6
23,1.9292107967017422,200,7
24,4.014824333491301,300,2
25,3.630806800952728,300,3
26,3.245224074244409,300,4
27,2.8289061838573826,300,5
28,2.3436888067785944,300,6
29,1.7751577951189972,300,7
