,Squared_error,sil_score,Cluster,time
0,42453.59765625,0.22624867,2,0.044319583976175636
1,32517.669921875,0.27114844,3,0.1035779999801889
2,29480.33203125,0.20113675,4,0.12323429199750535
3,27696.62890625,0.20937191,5,0.07331020798301324
4,26042.78515625,0.16606624,6,0.12117637501796708
5,24648.48828125,0.16896264,7,0.14997579201008193
6,23430.26953125,0.1722156,8,0.15565208299085498
7,22216.494140625,0.16073777,9,0.20026170799974352
8,21413.890625,0.16276309,10,0.18267804200877436
9,20504.83203125,0.15938988,11,0.1861925830016844
10,19741.73046875,0.15905136,12,0.19775300001492724
11,19169.173828125,0.15767154,13,0.20836925000185147
12,18659.201171875,0.15254623,14,0.17874704199493863
13,18226.96875,0.14695208,15,0.20405974998720922
14,17789.85546875,0.15022981,16,0.2112694579991512
15,17416.810546875,0.15209024,17,0.21032462498988025
16,17033.76953125,0.14131379,18,0.23017045800224878
17,16734.826171875,0.13898219,19,0.22148762497818097
18,16365.056640625,0.14395499,20,0.23547945800237358
19,16153.35546875,0.14121893,21,0.23236287501640618
20,15777.859375,0.1435147,22,0.27445349999470636
21,15522.42578125,0.13778833,23,0.23701270899618976
22,15286.6015625,0.1410609,24,0.2343734169844538
23,15066.23828125,0.14126077,25,0.2506435829855036
24,14933.96875,0.13830946,26,0.27568695798981935
25,14657.7109375,0.1418419,27,0.2595742919947952
26,14529.291015625,0.13798507,28,0.267323915992165
27,14378.869140625,0.13557962,29,0.2839240829925984
